ISO3,COUNTRY,BIOME_NAME,BIOME_NUM,sum
VGB,British Virgin Islands,Deserts & Xeric Shrublands,13.0,0.0
VIR,"Virgin Islands, U.S.",Tropical & Subtropical Moist Broadleaf Forests,1.0,0.0
VIR,"Virgin Islands, U.S.",Deserts & Xeric Shrublands,13.0,101461.15130615234
BLZ,Belize,Tropical & Subtropical Moist Broadleaf Forests,1.0,2.0250639436838928E8
BLZ,Belize,"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,6480952.607919731
CRI,Costa Rica,Tropical & Subtropical Moist Broadleaf Forests,1.0,2.3303065443138334E8
CRI,Costa Rica,Tropical & Subtropical Dry Broadleaf Forests,2.0,5.687767239544015E8
GTM,Guatemala,Tropical & Subtropical Moist Broadleaf Forests,1.0,1.5688064157473454E8
GTM,Guatemala,Tropical & Subtropical Dry Broadleaf Forests,2.0,1.0039160749995079E9
GTM,Guatemala,Tropical & Subtropical Coniferous Forests,3.0,4.833702146864971E7
GTM,Guatemala,Deserts & Xeric Shrublands,13.0,1.4550841834928147E7
HND,Honduras,Tropical & Subtropical Moist Broadleaf Forests,1.0,4.6423999612258255E7
HND,Honduras,Tropical & Subtropical Dry Broadleaf Forests,2.0,6.185144001026279E8
HND,Honduras,Tropical & Subtropical Coniferous Forests,3.0,6.745647253277013E7
HND,Honduras,"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,0.0
MEX,Mexico,Tropical & Subtropical Moist Broadleaf Forests,1.0,5.488866771589916E9
MEX,Mexico,Tropical & Subtropical Dry Broadleaf Forests,2.0,3.689427647771222E10
MEX,Mexico,Tropical & Subtropical Coniferous Forests,3.0,7.110602882857968E9
MEX,Mexico,"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,7.152364702295106E9
MEX,Mexico,"Mediterranean Forests, Woodlands & Scrub",12.0,2.263013366812275E8
MEX,Mexico,Deserts & Xeric Shrublands,13.0,3.497038256802732E10
NIC,Nicaragua,Tropical & Subtropical Moist Broadleaf Forests,1.0,8.356341362719461E7
NIC,Nicaragua,Tropical & Subtropical Dry Broadleaf Forests,2.0,1.567549244421496E9
NIC,Nicaragua,Tropical & Subtropical Coniferous Forests,3.0,2.3991957324725464E7
NIC,Nicaragua,"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,0.0
PAN,Panama,Tropical & Subtropical Moist Broadleaf Forests,1.0,2.4072671726557118E8
PAN,Panama,Tropical & Subtropical Dry Broadleaf Forests,2.0,5.442997311541607E8
SLV,El Salvador,Tropical & Subtropical Moist Broadleaf Forests,1.0,504897.33409040864
SLV,El Salvador,Tropical & Subtropical Dry Broadleaf Forests,2.0,3.973097059509633E8
SLV,El Salvador,Tropical & Subtropical Coniferous Forests,3.0,4.901768996238559E7
BMU,Bermuda,Tropical & Subtropical Coniferous Forests,3.0,0.0
CAN,Canada,Temperate Broadleaf & Mixed Forests,4.0,6.518343679669939E10
CAN,Canada,Temperate Conifer Forests,5.0,3.8916508284104886E9
CAN,Canada,"Temperate Grasslands, Savannas & Shrublands",8.0,2.4220965297346213E11
CAN,Canada,Temperate Conifer Forests,5.0,0.0
USA,United States,Tropical & Subtropical Moist Broadleaf Forests,1.0,2.1661063827457927E7
USA,United States,Tropical & Subtropical Dry Broadleaf Forests,2.0,8.261927629908185E7
USA,United States,Tropical & Subtropical Coniferous Forests,3.0,106631.2739868164
USA,United States,Temperate Broadleaf & Mixed Forests,4.0,3.4806395251766406E11
USA,United States,Temperate Conifer Forests,5.0,1.6034499227458408E10
USA,United States,"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,1.5192152260328833E10
USA,United States,"Temperate Grasslands, Savannas & Shrublands",8.0,1.0407346854037108E12
USA,United States,"Mediterranean Forests, Woodlands & Scrub",12.0,2.5410925529192715E9
USA,United States,Deserts & Xeric Shrublands,13.0,3.782236634317119E10
ABW,Aruba,Deserts & Xeric Shrublands,13.0,0.0
CUW,Curaçao,Deserts & Xeric Shrublands,13.0,0.0
BES,"Bonaire, Saint Eustatius and Saba",Tropical & Subtropical Dry Broadleaf Forests,2.0,0.0
BES,"Bonaire, Saint Eustatius and Saba",Deserts & Xeric Shrublands,13.0,0.0
TTO,Trinidad and Tobago,Tropical & Subtropical Moist Broadleaf Forests,1.0,1.0006870023805862E7
TTO,Trinidad and Tobago,Tropical & Subtropical Dry Broadleaf Forests,2.0,1.643872330652407E7
FLK,Falkland Islands,"Temperate Grasslands, Savannas & Shrublands",8.0,0.0
GUF,French Guiana,Tropical & Subtropical Moist Broadleaf Forests,1.0,4449.0126953125
ARG,Argentina,Temperate Broadleaf & Mixed Forests,4.0,3.917723736862147E7
ARG,Argentina,"Temperate Grasslands, Savannas & Shrublands",8.0,3.4718422321833795E11
ARG,Argentina,Montane Grasslands & Shrublands,10.0,4.776108415532782E8
ARG,Argentina,"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,7.83189553988922E10
ARG,Argentina,Tropical & Subtropical Moist Broadleaf Forests,1.0,3.2830686008530927E9
BOL,Bolivia,Tropical & Subtropical Moist Broadleaf Forests,1.0,4.0405785376953483E9
BOL,Bolivia,Tropical & Subtropical Dry Broadleaf Forests,2.0,1.5251850820215765E10
BOL,Bolivia,Montane Grasslands & Shrublands,10.0,9.958543712010231E8
BOL,Bolivia,"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,2.9501950679872994E9
BRA,Brazil,Tropical & Subtropical Moist Broadleaf Forests,1.0,2.0171171893708142E11
BRA,Brazil,"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,3.0275883108133856E11
BRA,Brazil,Tropical & Subtropical Dry Broadleaf Forests,2.0,1.3372645993534134E10
CHL,Chile,Temperate Broadleaf & Mixed Forests,4.0,1.9172451564071805E9
CHL,Chile,"Temperate Grasslands, Savannas & Shrublands",8.0,8780914.269315355
CHL,Chile,Tropical & Subtropical Moist Broadleaf Forests,1.0,0.0
CHL,Chile,"Mediterranean Forests, Woodlands & Scrub",12.0,1.862906815334263E9
CHL,Chile,Montane Grasslands & Shrublands,10.0,7749734.421471929
