"","ISO3","NAME","Crop_TotalC_sum_MgC","Graze_TotalC_sum_MgC","Crop_FluxDensity_mean_MgC/ha_CORRECT","Graze_FluxDensity_mean_MgC/ha_CORRECT","Crop_FluxDensity_mean_MgC/ha_WRONG","Graze_FluxDensity_mean_MgC/ha_WRONG","CropArea_sum_ha","GrazeArea_sum_ha","Crop_ForestCover_mean_percent_allDelta","Crop_ForestCover_mean_percent_positiveDelta","Graze_ForestCover_mean_percent_allDelta","Graze_ForestCover_mean_percent_positiveDelta","Crop_Delta_mean_percent","Graze_Delta_mean_percent","Crop_ExpertRecs_mean_percent","Graze_ExpertRecs_mean_percent"
"92","GUY","Guyana",1373986.16592151,23370295.3170694,0.400720051610303,1.42163279942473,0.304402633844121,1.07387071486291,114293.104824687,547968.395367316,13.1896269243333,12.2681202894778,5.99999451037106,5.78974927028938,8.60759989336969,21.1675963730858,21.2711545794208,30.9717097738569
"93","HKG","Hong Kong",395.622190176773,0,0.296101522096642,NA,0.186852102754078,NA,44.5367732183479,NA,15.0574619730111,13.5621274329801,NA,NA,7.42970747322573,NA,21,31.25
"94","HND","Honduras",1706392.0760311,81433.4307654075,NA,NA,0.579775738611514,0.57905285208773,NA,NA,16.8234037150485,16.5122505181362,12.6240590236028,10.3291601053708,22.1345142943069,12.2896588299945,24.341759013893,28.4136455052155
"95","HRV","Croatia",14246711.102237,3455004.37673701,0.522237813671914,0.57024830317428,0.297581913760526,0.320680766181824,909337.389293126,201959.062248543,7.47154673975045,7.42023442556604,2.66385280279923,2.1762694702034,27.3928390982182,24.8366171514464,29.5097058840625,32.1946729834883
"96","HTI","Haiti",45206.3461386409,62709.6719587786,NA,1.32162122458586,0.499636593863795,1.01050173535957,NA,1581.6350098955,8.76541854251309,8.01762031784198,2.02686723741236,2.08314115956825,14.8674160763782,28.1165527340736,25.4879544732207,29.1257167062873
"97","HUN","Hungary",66838027.7460897,19427.2041493349,0.487291150612912,0.562669714530708,0.270736724968584,0.311000548501659,4572080.27562312,1150.89448555908,5.87196851251812,5.87185376982758,0.438004582151429,0.190921853065044,29.6664930273858,34.5619954178486,35.53846154,35
"98","IDN","Indonesia",92685446.13006,3844213.12737115,0.456979057496391,NA,0.333950020930556,0.671832185260218,6760736.23138933,NA,14.6755095406429,13.6495939854803,9.53348027854541,9.10167356198214,9.23221902860701,14.6998031097998,21.8255221511142,30.8745732760306
"99","IMN","Isle of Man",156201.691041455,0,0.809423655226535,NA,0.386459887584399,NA,6432.63018209906,NA,18.5677252962599,18.6012206165317,NA,NA,16.935107810698,NA,35.53846154,35
"100","IND","India",1599385005.99487,11267975.1751102,0.477930763712899,NA,0.347216329591513,0.304277670454719,111549281.990118,NA,5.97181680647605,5.30818190955904,4.33595810762749,3.74977905599372,21.8905351103493,20.7175766637217,24.0671792373155,22.1366923675772
"101","IOT","British Indian Ocean Territory",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,31.25
"102","IRL","Ireland",11174656.7167867,18758690.1387979,0.90742428518755,1.76497882957709,0.446083527038519,0.873027792703491,410489.958563579,354276.017827982,15.8952450518116,15.8946420557243,4.23589281040814,3.15710833939134,19.6382046682757,30.7674103139656,35.53846154,35
"103","IRN","Iran",92101315.0738743,201243031.292722,0.220808209433432,0.160668952165676,0.14547606036379,0.107017366028993,13903667.0949562,41751072.3302258,3.38097369927744,0.766003356422712,0.0992314220928723,0.0892090981865669,22.5663764608647,19.2826544356272,15.7536126272676,15.3934998502996
"104","IRQ","Iraq",25789854.2163342,2099158.65800463,0.149618445124247,NA,0.0939040654586144,0.0388612906235418,5745694.03189061,NA,1.22711848526093,0.0704721719364346,0.00577336634040915,0.00210347535712097,12.0549361665625,10.00038791825,8.63416670374725,8.74068810580572
"105","ISR","Israel",1135795.13061263,43929.1175888494,0.0911633439418489,NA,0.0581332683229009,0.0214494211422611,415296.719602975,NA,1.82972897031568,1.12575446764865,0,0,7.80350519623102,5,6.29545535531869,12.103122427002
"106","ITA","Italy",61507941.7855691,1890394.81068679,0.289617383023536,0.496070372690147,0.16339680363357,0.27175481751039,7079218.46672795,127024.639698822,5.99853783404132,5.55452622440269,3.43381670193162,2.65590260239858,15.1747415226731,21.8541654777443,16.8496914823578,25.8552552539007
"107","JAM","Jamaica",427241.043506205,0,0.727169382182284,NA,0.514046590797103,NA,19584.6641316693,NA,14.8961917730332,13.3321774643289,NA,NA,19.4328840171597,NA,25.4581269732143,29.5693568942821
"108","JEY","Jersey",90723.242195565,0,0.887130268631747,NA,0.473116784132663,NA,3408.86584542955,NA,13.3838206041872,13.335858758999,NA,NA,22.2023460967275,NA,35.53846154,35
"109","JOR","Jordan",701158.83813609,124223.170462197,0.0907189043208226,NA,0.0580514687723966,0.0209303857707879,257630.550613236,NA,1.32757334040106,0.106259108635178,0.00374022306660606,0.00213106394223065,11.6865640186727,5.81352331952705,9.01552959128583,9.28302198188663
"110","JPN","Japan",42816606.3224912,0,0.494646534564178,NA,0.314651479681366,NA,2885333.48769379,NA,12.6660143723362,12.55278579479,NA,NA,20.7540822102156,NA,32.7529327044091,33.3216098518596
"111","KAZ","Kazakhstan",264402340.438067,565885849.634467,0.40611320907152,0.111791583733554,0.190717392824555,0.0563667387698722,21701858.3761048,168732394.913022,1.71373152277816,1.60942306875506,0.663434896850424,0.651979610985437,25.1824019717392,8.15096280903883,14.5137872383875,11.7204267202814
