"","ISO3","Crop_FluxDensity_mean_MgC/ha","Graze_FluxDensity_mean_MgC/ha","Crop_TotalC_sum_MgC","Graze_TotalC_sum_MgC","Crop_Area_sum_ha","Graze_Area_sum_ha","Crop_ForestCover_mean_percent","Graze_ForestCover_mean_percent","Crop_Delta_mean_percent","Graze_Delta_mean_percent","country_name"
"161","NLD",0.45279709253788,0.682812277103996,19529058.3735034,2563212.77373449,882385.543286035,76389.1730662138,13.9560533061581,2.08425115462549,21.5824082337691,32.9157488453745,"Netherlands"
"162","NOR",0.156206984056797,0.314789891163232,1011185.85339733,53750.5942690226,77953.9479602216,2973.28863402405,16.8837014380287,0.353362533799276,10.95474310545,24.8466374661725,"Norway"
"163","NPL",0.323270645277912,0.631601991190578,21618459.832393,1188087.82361712,1743924.02971824,53386.8368200854,9.31010775137451,0.756792515681437,15.5978951447126,27.2017295447886,"Nepal"
"164","NZL",0.352356564770799,0.538818801924192,6354373.95843062,71621762.1631338,497885.849626119,3865048.63255619,13.8986902761857,0.457485888618757,16.3943268690175,24.54698299217,"New Zealand"
"165","OMN",0.113240007260912,0.185830758571006,61074.6554912816,705514.169882197,30227.0727408105,384769.961366857,0.0315319214431906,0.000117329157438939,15.8053067799643,17.2676938749631,"Oman"
"166","PAK",0.195211706291941,0.191487916966791,10189065.3615485,2243467.3684451,8066149.42224195,940230.739574831,6.61269091377791,0.53900622735484,14.8231574328099,16.1994199002935,"Pakistan"
"167","PAN",0.806404150475297,1.23462770391999,2448057.58479063,299888.852762311,78502.6448419732,7954.44600143114,14.2551212745658,4.48227545081412,17.4275691599549,26.7677245491859,"Panama"
"168","PCN",NA,NA,0,0,0,0,NA,NA,NA,NA,"Pitcairn Islands"
"169","PER",0.479875918954012,0.537059212569817,9211662.89249074,140993301.647595,669843.616544663,9224801.35467598,5.17104742440371,0.119722186612364,18.8859204776353,18.6669061672766,"Peru"
"170","PHL",0.180437668696794,NA,17676762.4382333,0,1966222.98588931,0,16.8447075415608,NA,3.96120156354454,NA,"Philippines"
"171","PLW",NA,NA,0,0,0,0,NA,NA,NA,NA,"Palau"
"172","PNG",0.492395878321344,NA,253992.588833975,0,20201.2242019237,0,14.3290704342372,NA,10.277955705414,NA,"Papua New Guinea"
"173","POL",0.280832499534366,0.456635408516268,239114516.162481,7556.18393803196,11906855.8985478,357.383574908256,7.08080014689761,1.93498071660326,20.5584288187703,28.1650192833969,"Poland"
"174","PRI",0.636259237921611,NA,52569.3910074564,0,2093.65112675599,0,13.569996249885,NA,18.1653446493191,NA,"Puerto Rico"
