"","ISO3","NAME","Crop_TotalC_sum_MgC","Graze_TotalC_sum_MgC","Crop_FluxDensity_mean_MgC/ha","Graze_FluxDensity_mean_MgC/ha","CropArea_sum_ha","GrazeArea_sum_ha","Crop_ForestCover_mean_percent","Graze_ForestCover_mean_percent","Crop_Delta_mean_percent","Graze_Delta_mean_percent","Crop_ExpertRecs_mean_percent","Graze_ExpertRecs_mean_percent"
"111","KAZ","Kazakhstan",264402340.438067,565885849.634467,0.40611320907152,0.111791583733554,21701858.3761048,168732394.913022,1.71373152277816,0.663434896850424,25.1824019717392,8.15096280903883,14.5137872383875,11.7204267202814
"112","KEN","Kenya",88954098.866608,327553950.037718,0.537775188830334,0.554535913693345,5513710.35792137,19689374.0002115,8.66315173039528,1.91176996915203,15.2545446259843,25.0485604827466,24.6884420604451,27.449646203524
"113","KGZ","Kyrgyzstan",10138791.5535948,61686281.3550479,0.243212899913314,0.271944034635427,1389563.29443717,7561149.04766411,2.8510246216298,1.74703505510352,20.5706773229584,18.4824289121195,26.7750001088792,19.971757046971
"114","KHM","Cambodia",190522985.743592,375045.548811891,1.19601475127389,0.836987504354883,5309939.68484819,14936.3260845398,7.72129584405858,14.0272071949224,26.5460017177729,9.53030528111692,34.7538205479212,26.0650279656301
"115","KIR","Kiribati",0,0,NA,NA,0,0,NA,NA,NA,NA,21,31.25
"116","KNA","Saint Kitts and Nevis",0,0,NA,NA,0,0,NA,NA,NA,NA,18.0503997161106,26.6954701498767
"117","KOR","South Korea",20323782.2059724,0,0.612749289883367,NA,1105606.18845384,0,9.33921289327823,NA,26.1986643268749,NA,35.53846154,35
"118","KWT","Kuwait",7465.3094996602,57335.9557622039,0.0251716175618639,0.0330588642274959,9885.88235845765,57811.9838677702,1.00350553505535,0,2.99649446494465,5,4,5
"119","LAO","Laos",46273435.1894447,65532.7620556996,1.23369750009489,1.28394474414136,1250264.21754888,1701.33910499201,6.94865735894785,10.4422197680377,27.1985081939532,20.8077802319623,24.7457232755719,29.837921780398
"120","LBN","Lebanon",354461.631137218,0,0.114116603008308,NA,103537.849822902,0,2.8605980116468,NA,7.01336537062508,NA,9.75,23
"121","LBR","Liberia",13022.3809434497,0,0.818657095945831,NA,530.23343586871,0,9.12681816257793,NA,13.0495762692395,NA,21.0064797982908,31.2433496807058
"122","LBY","Libya",1770699.40959295,11456603.6994731,0.0645871340854146,0.0343329237284729,913855.591967307,11123048.9137088,1.27898414794584,0.0440726860202815,8.47077905817896,6.09862235118835,4.23813862513493,5.74547743520499
"123","LCA","Saint Lucia",0,0,NA,NA,0,0,NA,NA,NA,NA,29.4004677976443,27.1366092675012
"124","LIE","Liechtenstein",6754.92528381849,0,0.414562079201595,NA,543.137415175375,0,17.7595315666915,NA,17.1161432964222,NA,24.3153767241639,28.0557503380754
"125","LKA","Sri Lanka",3102213.20337142,6635.02464760086,1.15356049127821,0.196405191773885,89641.6855127092,1126.07760648193,9.92363378171203,7.32337983144435,28.078017472313,0.541412380122058,35.696831430726,24.5744851002298
"126","LSO","Lesotho",2474708.57362882,18930598.3666266,0.335387368720761,0.407209253339592,245955.254970582,1549620.84083089,2.32538171673018,4.27844706730645,24.6325350358324,20.678658914794,25.9823279132899,24.7659130653023
"127","LTU","Lithuania",43142953.9056719,0,0.733878461568462,NA,1959586.68748618,0,8.46596223240239,NA,27.0725301633789,NA,35.53846154,35
"128","LUX","Luxembourg",1108845.68423292,0,0.717448322041821,NA,51518.0280895678,0,9.82027504531426,NA,25.7181864946299,NA,35.53846154,35
"129","LVA","Latvia",22472766.1990259,0,0.748575114173467,NA,1000690.76897019,0,11.1616993067238,NA,24.3769583707901,NA,35.53846154,35
"130","MAC","Macao",8.11720407984853,0,0.296643385954813,NA,0.912116979980469,0,12.2553191489362,NA,NA,NA,21,31.25
"131","MAF","Saint-Martin",0.295582665670395,0,0.057899817796667,NA,0.170169024658203,0,6.28571428571429,NA,1.5,NA,4,5
"132","MAR","Morocco",16992809.0581389,49595354.8979378,0.0898361298468448,0.139951686920128,6305113.20523593,11812494.2469712,1.66444614259579,0.090906739246356,8.4593884124359,20.4454309758703,9.06082691057399,19.1522264954285
"133","MCO","Monaco",0.210520218635917,0,0.107991637294609,NA,0.0649804077148437,0,NA,NA,NA,NA,NA,NA
"134","MDA","Moldova",23459600.8142589,0,0.419347551248189,NA,1864769.90620559,0,6.20870508316422,NA,27.1669515469225,NA,33.7881898159145,31.6647916647412
"135","MDG","Madagascar",37159615.5587741,306101712.934749,0.71603547870867,0.65489325686794,1729877.76275134,15580234.3727839,5.92840504818109,3.52666985815044,19.9923429885656,18.4341656581082,22.703100977281,23.5839967701948
"136","MDV","Maldives",0,0,NA,NA,0,0,NA,NA,NA,NA,21,31.25
"137","MEX","Mexico",87677924.2561162,113438782.284517,0.318217393482432,0.0978472443187035,9184279.47391638,38644856.7779893,5.99564460946404,2.26759123226446,18.87009201446,7.94883800312269,17.4036088859913,17.8688435025061
"138","MHL","Marshall Islands",0,0,NA,NA,0,0,NA,NA,NA,NA,21,31.25
"139","MKD","Macedonia",3694953.83376004,411731.115585553,0.421157036394377,0.445456038798923,292444.6635071,30809.7080837051,3.8967657371322,2.61904998001761,28.424228568336,30.0346987466684,29.875937294176,32.3650893890916
"140","MLI","Mali",89447947.0173868,199501890.623573,0.501215410734212,0.332725467657299,5948736.15227685,19986636.633524,1.75818655855175,0.787327379013937,23.4492068679727,25.4139446979404,17.5505687217138,18.9939773878822
"141","MLT","Malta",9494.42457659139,0,0.151693342362575,NA,2086.31977047,0,1.41090384417191,NA,8.34602065231079,NA,9.75,23
"142","MMR","Myanmar",204874908.956053,0,0.680550300156962,NA,10034766.9089167,0,6.16563737073082,NA,18.9140258185551,NA,22.4275541950991,30.7517182047048
"143","MNE","Montenegro",58927.4619016372,68343.912757959,0.166154017438397,0.682778748304108,11821.8551699048,3336.55731219482,5.32232877871178,7.20134477288888,6.67251823027297,27.7986552271111,27.7070396383936,31.3558484218228
"144","MNG","Mongolia",6775129.21833992,647814653.335922,0.410911082514859,0.257617603745626,549602.21376644,83821219.7609991,2.58786533629518,0.856588862892897,24.9363617832988,14.9262032771552,16.3357334475357,13.7299860332044
